folio;depto;area;s10b_10_01;s10b_10_02;s10b_10_03;s10b_10_04;s10b_10_05;s10b_10_06;s10b_10_07;s10b_10_08;s10b_10_09;s10b_10_10;s10b_10_11;s10b_10_12;s10b_10_13;s10b_10_14;s10b_10_15;s10b_10_16;s10b_10_17;s10b_10_18;s10b_10_19;s10b_10_20;s10b_10_21;s10b_10_22;s10b_10_23;s10b_10_24;s10b_10_25;s10b_10_26;s10b_10_27;s10b_10_28;s10b_11_01;s10b_11_02;s10b_11_03;s10b_11_04;s10b_11_05;s10b_11_06;s10b_11_07;s10b_11_08;s10b_12_01;s10b_12_02;s10b_12_03;s10b_13_01;s10b_13_02;s10b_13_03;s10b_13_04;s10b_13_05;s10b_13_06;s10b_13_07;s10b_13_08;s10b_13_09;s10b_13_10;s10b_13_11;s10b_13_12;s10b_13_13;s10b_13_14;s10b_13_15;s10b_13_16;s10b_13_17;upm;estrato;factor
70580;8;2;65;0;40;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;40;24;0;217;0;0;40;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;852-07182116967-A;22;279
70597;3;1;300;0;0;0;0;0;100;0;40;0;0;0;0;300;500;0;500;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;314-05259545087-A;14;207
70600;3;1;100;0;0;0;0;0;100;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;314-05259545087-A;14;207
70603;3;1;500;100;0;0;500;0;0;0;0;0;0;0;0;0;0;0;0;200;200;0;0;0;0;0;150;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;314-05259545087-A;14;207
70608;7;2;60;0;50;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;50;0;0;0;300;0;0;0;0;0;0;0;800;0;0;0;0;0;0;0;0;0;300;400;0;0;0;0;0;0;0;743-05654084048-D;23;429
70615;7;2;40;0;32;0;0;0;40;0;30;0;0;0;80;0;0;0;0;0;0;0;20;0;0;0;120;40;0;0;0;400;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300;500;30;0;0;0;0;0;0;743-05654084048-D;23;429
70621;7;2;20;0;120;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;20;0;0;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;130;0;0;743-05654084048-D;23;429
70625;8;2;150;0;0;0;0;0;200;100;15;0;0;0;150;0;0;0;0;0;0;80;48;0;0;0;60;150;0;108;0;200;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;400;600;0;0;0;0;0;0;0;852-07182116967-A;22;279
70632;8;2;100;0;0;0;0;0;30;15;0;0;0;0;200;0;0;0;0;0;0;50;24;0;0;0;0;200;0;83;0;400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;500;350;0;0;0;0;0;0;0;852-07182116967-A;22;279
70636;8;2;15;0;40;0;0;0;65;10;0;0;0;0;40;0;0;0;0;0;10;0;60;0;0;0;40;200;0;83;0;165;0;0;0;0;0;0;0;150;0;0;90;0;45;0;0;0;0;100;800;0;0;0;0;0;0;0;852-07182116967-A;22;279
70640;8;2;20;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;852-07182116967-A;22;279
70642;7;2;60;0;0;0;0;0;100;15;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;20;40;0;85;0;140;0;0;0;0;0;0;0;500;0;0;0;0;0;0;0;0;0;40;170;47;0;0;0;0;0;0;743-05654084048-D;23;429
70651;3;1;40;250;0;0;50;20;60;10;0;0;0;250;200;0;0;0;0;0;0;0;0;0;0;0;0;170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;0;0;14;800;150;0;0;0;0;0;0;0;324-05254380931-A;14;207
70652;3;1;500;300;0;0;100;20;100;0;50;0;0;400;600;0;0;0;0;80;40;0;0;0;0;0;0;400;240;230;0;0;300;500;0;0;0;0;0;0;800;0;0;0;0;0;0;0;28;0;200;0;0;0;0;0;0;0;324-05254380931-A;14;207
70653;3;1;50;0;0;12;0;0;50;0;0;0;0;0;0;0;600;0;600;0;0;0;0;0;0;0;100;0;0;100;0;0;200;200;0;0;0;0;0;300;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;980;0;0;324-05254380931-A;14;207
70721;1;2;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120;600;0;0;0;0;0;0;0;141-04497044083-D;21;429
70727;1;2;20;0;40;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;141-04497044083-D;21;429
70732;1;2;0;0;48;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;20;300;400;500;0;0;0;0;0;0;80;0;0;0;0;0;0;0;0;300;1000;0;0;0;0;0;0;0;141-04497044083-D;21;429
70740;1;2;100;0;20;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;50;0;0;0;0;0;0;0;0;0;350;0;0;0;0;0;0;0;0;0;400;15;0;0;0;0;0;0;141-04497044083-D;21;429
70747;1;2;30;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;0;0;0;0;141-04497044083-D;21;429
70757;1;2;30;0;40;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;141-04497044083-D;21;429
