folio;depto;area;s09a_01;s09a_02;s09a_03;s09a_04;s09a_05;s09a_06;s09a_07;s09a_08;s09a_09;s09b_10;s09b_11;s09b_12;s09b_13;s09b_14;s09b_15;s09b_16;upm;estrato;factor
14161;3;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;314-05219880995-A;14;207
14166;3;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;314-05219880995-A;14;207
14170;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;713-05214295299-A;13;584
14174;3;1;1;2;2;2;2;1;2;2;1;2;2;2;2;2;2;2;314-05219880995-A;14;207
14194;3;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;314-05219880995-A;14;207
14199;3;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;313-05233840600-A;13;214
14200;3;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;313-05233840600-A;13;214
14211;3;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;314-05226207024-A;14;275
14212;3;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;314-05226207024-A;14;275
14213;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;314-05226207024-A;14;275
14214;3;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;314-05226207024-A;14;275
14215;6;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;612-02979200189-A;12;127
14217;6;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;612-02979200189-A;12;127
14224;6;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;622-02607034693-A;12;127
14231;3;1;1;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;314-05274813410-A;14;207
14234;7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;713-05214295299-A;13;584
14238;1;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;132-03948734383-A;12;210
14243;3;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;312-05215271971-A;12;189
14251;3;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;312-05215271971-A;12;189
14254;6;1;2;2;2;1;2;1;2;2;2; ; ; ; ; ; ; ;622-03358767530-A;12;127
14295;7;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;722-05473374574-A;12;398
14301;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;722-05473374574-A;12;398
14305;7;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;732-04987245342-A;12;398
14312;2;2;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ;251-07147693844-D;21;854
14315;2;2;2;2;1;2;2;2;2;2;1;1;2;2;2;2;2;2;251-07147693844-D;21;854
14319;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;251-07147693844-D;21;854
14323;1;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;132-03948734383-A;12;210
14331;7;1;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ;722-05473374574-A;12;398
14335;1;1;1;2;1;1;2;1;2;2;1;1;1;2;2;2;2;2;132-03948734383-A;12;210
14389;7;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;722-05473374574-A;12;398
14402;6;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;622-02607034693-A;12;127
14405;7;1;1;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;732-04987245342-A;12;398
14406;7;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;732-04987245342-A;12;398
14407;7;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;732-04987245342-A;12;398
14408;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;732-04987245342-A;12;398
14411;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;722-05473374574-A;12;398
14413;7;1;2;2;2;2;2;2;1;2;1;2;2;2;1;2;2;2;713-05195590472-A;13;486
14449;7;1;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ;722-05473374574-A;12;398
14540;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;732-04987245342-A;12;398
14541;7;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;732-04987245342-A;12;398
14542;7;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;732-04987245342-A;12;398
